Coefficient,MAE,ExpainedVariance
20.093854275024565,5.128384719184385,0.9326122385106692
2.6214108043344004,5.128384719184385,0.9326122385106692
2.1029505611214487,5.128384719184385,0.9326122385106692
1.5153561996258071,5.128384719184385,0.9326122385106692
1.4254701527773206,5.128384719184385,0.9326122385106692
1.141511095788141,5.128384719184385,0.9326122385106692
1.1180698359499097,5.128384719184385,0.9326122385106692
1.0567741027698205,5.128384719184385,0.9326122385106692
0.8597191489192412,5.128384719184385,0.9326122385106692
0.7693494341558743,5.128384719184385,0.9326122385106692
0.6592967596500452,5.128384719184385,0.9326122385106692
0.5152912885980935,5.128384719184385,0.9326122385106692
0.4817389383565903,5.128384719184385,0.9326122385106692
0.41733544178081433,5.128384719184385,0.9326122385106692
0.390924351553671,5.128384719184385,0.9326122385106692
0.3367651239529449,5.128384719184385,0.9326122385106692
0.3248993898473215,5.128384719184385,0.9326122385106692
0.2650791751815387,5.128384719184385,0.9326122385106692
0.19755265460392907,5.128384719184385,0.9326122385106692
0.17475296058085396,5.128384719184385,0.9326122385106692
0.13161413400525604,5.128384719184385,0.9326122385106692
0.08127681217933136,5.128384719184385,0.9326122385106692
